index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels-5,n-false-labels-5,n-true-labels,n-false-labels,times
0,0.436046511627907,0.5304347826086957,0.47436535589845696,0.49437927663734116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.28488372093023256,0.19130434782608696,0.5,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.018345117568969727
2,0.28488372093023256,0.19130434782608696,0.5,0.5,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.015850067138671875
3,0.28488372093023256,0.19130434782608696,0.5,0.5,3,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0.015427827835083008
4,0.28488372093023256,0.19130434782608696,0.5,0.5,4,0,1,1,0,1,0,1,0,0,0,0,0,3,1,0.015556812286376953
5,0.29651162790697677,0.16521739130434782,0.47129583540733366,0.39711632453567935,5,0,1,1,0,1,0,1,0,0,0,1,0,4,1,0.01566171646118164
6,0.29651162790697677,0.16521739130434782,0.47129583540733366,0.39711632453567935,6,0,1,1,0,1,0,1,0,1,0,1,0,5,1,0.01653289794921875
7,0.28488372093023256,0.14782608695652175,0.4693047950887672,0.38636363636363635,7,0,1,1,0,2,0,1,0,1,0,1,0,6,1,0.016439199447631836
8,0.27906976744186046,0.16521739130434782,0.47751783640285383,0.4318181818181818,8,0,1,1,0,2,0,2,0,1,0,1,0,7,1,0.016157865524291992
9,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,9,0,1,1,0,3,0,2,0,1,0,1,0,8,1,0.01581597328186035
10,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,10,0,1,2,0,3,0,2,0,1,0,1,0,9,1,0.01580190658569336
11,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,11,0,1,2,0,4,0,2,0,1,0,1,0,10,1,0.016309022903442383
12,0.27906976744186046,0.1391304347826087,0.45910071345611414,0.36363636363636365,12,1,1,2,0,4,0,2,0,1,0,1,0,11,1,0.015901803970336914
13,0.26744186046511625,0.14782608695652175,0.4571096731375477,0.38636363636363635,13,1,1,2,0,5,0,2,0,1,0,1,0,12,1,0.016172170639038086
14,0.26744186046511625,0.1565217391304348,0.4571096731375477,0.4090909090909091,14,1,1,2,0,5,0,2,0,2,0,1,0,13,1,0.016039133071899414
15,0.26744186046511625,0.1565217391304348,0.4571096731375477,0.4090909090909091,15,2,1,2,0,5,0,2,0,2,0,1,0,14,1,0.015547990798950195
16,0.26744186046511625,0.14782608695652175,0.4571096731375477,0.38636363636363635,15,2,1,2,0,5,0,2,0,3,0,1,0,15,1,0.015455007553100586
17,0.27325581395348836,0.1391304347826087,0.4427575908412146,0.3462854349951124,15,2,1,2,0,5,0,2,0,3,0,1,1,15,2,0.01596212387084961
18,0.27325581395348836,0.1391304347826087,0.4427575908412146,0.3462854349951124,15,2,1,2,1,5,0,2,0,3,0,1,1,15,3,0.0156252384185791
19,0.29069767441860467,0.1565217391304348,0.4488136718101875,0.3570381231671554,16,2,1,2,1,5,0,2,0,3,0,1,2,15,4,0.015575170516967773
